gauge_id,aridity_ERA5_LAND,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,moisture_index_ERA5_LAND,moisture_index_FAO_PM,p_mean,pet_mean_ERA5_LAND,pet_mean_FAO_PM,seasonality_ERA5_LAND,seasonality_FAO_PM,region
camels_01013500,3.7639294,0.4925567,0.37453797,1.1052631,0.047433265,2.8350992,0.586037,-0.59844494,0.53740615,3.175454,11.952184,1.5640911,0.8495939,0.9722518,camels
camels_01022500,4.539418,0.5809156,0.3354396,1.0837697,0.056673512,3.2380292,0.6387406,-0.7161177,0.4097176,3.2038372,14.543556,1.8611588,0.45849156,1.187054,camels
camels_01030500,4.2636347,0.5328785,0.31613037,1.0931232,0.052224502,3.02976,0.61321014,-0.6679968,0.47161818,3.1840692,13.575707,1.6967221,0.6320345,1.1191524,camels
camels_01031500,3.9475863,0.51058507,0.3062726,1.093185,0.05379877,3.1493258,0.62361395,-0.64680576,0.49547973,3.289056,12.983833,1.6793429,0.6679059,1.0974476,camels
camels_01052500,3.1283631,0.46201763,0.36840636,1.0780399,0.040657084,2.5159047,0.5197125,-0.53874874,0.56966347,3.402069,10.642907,1.5718158,0.9220556,0.8333295,camels
camels_01054200,3.0018742,0.45564178,0.37427166,1.1040725,0.05010267,2.9388244,0.58856946,-0.5449266,0.5713435,3.664167,10.999369,1.6695476,0.8371131,0.8084004,camels
camels_01055000,3.7211487,0.51859784,0.38699868,1.0884956,0.050513346,3.1266437,0.6184805,-0.62633574,0.5002689,3.1776016,11.824328,1.6478974,0.6793325,1.0387677,camels
camels_01057000,4.042607,0.5349173,0.31028125,1.1042781,0.05653662,3.3839254,0.64551675,-0.6713594,0.46873954,3.2692704,13.216374,1.7487892,0.55865693,1.1176745,camels
camels_01078000,4.3796167,0.58510786,0.30750996,1.1105121,0.056399725,3.2602885,0.6344285,-0.7110574,0.4328658,3.128184,13.700248,1.8303251,0.45453224,1.0771906,camels
camels_01137500,3.039753,0.45875534,0.37096673,1.0807248,0.044900753,2.6376376,0.5410678,-0.52097017,0.5707814,3.6186044,10.999663,1.6600541,0.9591873,0.8030125,camels
camels_01162500,4.813355,0.6273522,0.32665595,1.1105263,0.05776865,3.3781753,0.6462697,-0.7399131,0.38683143,3.1310554,15.070881,1.9642745,0.40449616,1.1383848,camels
camels_01169000,3.7115562,0.502749,0.30589455,1.0907841,0.054277893,3.1246498,0.6108145,-0.67781883,0.51676655,3.681503,13.664105,1.850872,0.44027483,0.8790196,camels
camels_01170100,3.8520086,0.51648754,0.30689874,1.093496,0.05523614,3.1769662,0.61930186,-0.68845177,0.5022787,3.5820062,13.797918,1.8500617,0.42999902,0.9093623,camels
camels_01333000,3.9098814,0.53904325,0.3152463,1.0839363,0.051266257,2.9801776,0.59685147,-0.6841972,0.47233298,3.4563189,13.513798,1.8631054,0.47686967,1.0272759,camels
camels_01350140,4.106419,0.57885534,0.3026376,1.1045959,0.04770705,2.8399334,0.58412045,-0.71490675,0.45056605,3.2093916,13.179107,1.8577734,0.35002047,1.0047107,camels
